review,label
"Le remake a dorénavant attaqué la comédie musicale.Enfin si l’on peut appeler cela un remake.Alors que l’originale est devenu un culte représentatif de la génération 80’s,au point même de donner naissance à une série adorée par des millions de personnes encore aujourd’hui,on se retrouve ici face à un film qui,à part le domaine musical et le nom de la célèbre High School of Performing Arts,n’a rien de FAME.Il est certain qu’il est plus facile d’attirer les foules dans les salles avec une approche moderne plutôt que old school,mais dans ce cas,on n’appelle pas son film FAME.Autant il aurait pu mériter une meilleure note si le réalisateur l’avait nommé autrement.Pour sauver un peu ce fiasco,on aurait au moins espéré voir une tête familière à l’univers en guise de caméo,histoire de nous rattacher à la franchise,mais une fois de plus,c’est raté.Néanmoins la bande originale est de qualité,dans le style propre du film,mais encore un fois,ce n’est pas l’ambiance afro-dance-rythm and blues dans les rues New Yorkaises que nous connaissons.En bref :un bon petit film,mais un très mauvais remake,s’inspirant moins de l’original que de la série UN DOS TRES façon US,qui ne mérite pas le chapeau bas d’Alan Parker.",0
"Quel dommage et quel gâchis. Deux humoristes au top de leur génération. Un potentiel indéniable. L'héritage de ""Case départ""... Et pourtant rien. Le film passe complètement a côté de son objectif. Une très grande déception. Tous les passages potentiellement drôles sont dans la bande annonce. Eboué effleure de véritable pépite de la vanne sans aller au fond du truc. Vraiment dommage.",0
"Un film hallucinant, d'une audace incroyable au regard du challenge que s'impose Melville : bâtir un film sur un long monologue en banissant toute idée d'un quelconque dialogue ! Un pari périlleux que Melville, véritablement transcendé par son sujet, réussit à merveille en prenant le parti pris de la simplicité et de l'épure. Un coup d'essai qui ressemble à s'y méprendre à un coup de génie. L'un des premiers films de Melville et sans doute le meilleur. Il y a quelque chose de ""bressonien"" dans cette oeuvre que l'on peut aisément comparer à l'exceptionnel ""Jeanne d'Arc"", quelque chose dans la pureté, dans l'expression des corps, le minimalisme intelligent, quelque chose qui ressemble à ces monuments cisterciens qui laissent pénétrer la lumière en même temps que le divin. Le ""Silence de la mer"" est à l'esprit ce que le ""Jeanne d'Arc est à Dieu. Une digue inébranlable qui se dresse au-devant de ceux qui voudraient tordre l'esprit humain. Un chef-d'oeuvre tout simplement.",1
"En 1945, la France est libérée de l'occupation allemande, de nombreux bâtiments sont en ruines, la population est soulagée, la vie essaie de reprendre son cours. Pourtant, pendant la Guerre, il y avait les collabos, les lâches, les profiteurs, les communistes. Un bon monde que la France n'oublie pas, revancharde, et qu'elle va saisir au tournant lorsque l'occasion se présentera. En 1990, Claude Berri délaisse la comédie et adapte le roman de Marcel Aymé, dépeignant ainsi une réalité oubliée et qui se reflète encore de nos jours : la haine est immortelle. Un père de famille trouillard, une épouse volage, une fille dévergondée, un enseignant évasif, un patron de bar qui s'improvise poète, des communistes engagés, une gendarmerie dépassée par les évènements et un collaborateur recherché de toutes parts. Tout ce petit monde s'agitant dans une petite ville provinciale aurait pu être les acteurs d'une comédie burlesque sur fond de drame social mais il n'en est rien. Car si l'on rit parfois au détour de dialogues succulents, l'histoire d'Uranus reste triste, sombre, violente. Elle raconte comment des hommes et des femmes vont révéler leur vraie nature dans un moment opportun, dans un moment lourd et profitable pour chacun. Autour d'une interprétation monstrueuse (Phillipe Noiret, Jean-Pierre Marielle, Gérard Depardieu, Daniel Prévost, Michel Galabru...), le réalisateur de Tchao Pantin nous livre un film poignant où s'entrechoquent des personnalités à la fois merveilleuses et écœurantes dans un décor paradoxalement paisible, débarrassé de toute violence mais qui garde en lui un trop-plein de secrets qui ne demandent qu'à exploser. Et si la mise en scène simple, la maladresse de certaines séquences (l'ultime scène de Depardieu) ou encore la sobriété de la tension présentée, Uranus reste une œuvre impressionnante qui conserve encore toute sa force d'antan.",1
"Les deux anglaises et le Continent possède beaucoup de charme qui peut paraitre désuet pour certains.La réalisation de François Truffaut est très soignée,le film peut-etre un peu long...Truffaut lui-meme narrateur du film,adapte le deuxième et dernier roman de Henri-Pierre Roché,l'auteur de Jules et Jim.C'est un sujet qui tenait vraiment à coeur à Truffaut,très soucieux d'offrir aux spectateurs un agréable spectacle,une belle histoire d'amour à trois comme Jules et Jim mais avec le postulat de depart inverse.Les deux anglaises Kika Markham et Stacey Tendeter sont très justes et encore une fois superbement filmées,Jean-Pierre Léaud tout en retenue est parfois peu credible mais remporte finalement l'adhesion.Très érotique,sensuel et très beau,Les deux anglaises et le Continent est un film à redecouvrir.C'est un des plus gros echecs commercial de François Truffaut qui l'a profondément marqué et pourtant, c'est un de ses films considéré aujourd'hui comme essentiel dans sa filmographie.",1
"Adepte des films a scénario ( car apparament c'est devenue une priorité de second plan dans les films actuels ) , je me suis empresser de regarder celui-ci, en conséquence des critiques qui m'étaient parvenus. Immense deception. J'ai trouvé ce film plat et sans grand interet. Il met 50 minutes a vraiment demarrer, dommage pour un film qui dure 1h37. On a l'impression qu'il ne se passe rien, et que le tout semble être un prequel a quelque chose qui n'arrive finalement jamais. Le scénario n'innove pas vraiment dans le genre huit clos dans l'espace, quand on a un grand frère comme 2001, on peu difficilement faire mieux. Sans compter la tentative de faire rimer "" étrange "" avec "" angoissant "", alors que finalement le resultat est simplement "" bizarre "". Prévisible a shouait. Et par dessus tout, le film s'offre le luxe d'incohérence asser visible. En bref, si vous avez un peu de temps a perdre...",0
"Déjà auteure d'un roman traité au cinéma (""Le secret de Terabithia""), Kathleen Patterson voit donc un autre de ses romans passer au cinéma. Je partais donc assez confiant... je ne m'attendais pas à un résultat si banal ! Une histoire maintes fois traitée au cinéma qui n'offre aucune originalité, tous les clichés sont là ! En quelques minutes, on devine comment cette jeune fille va s'intégrer à sa famille d'accueil malgré sa réticence dès son arrivée. L'interprétation n'est pas trop mauvaise particulièrement la jeune Sophie Nélisse (que j'avais bien aimé dans ""La Voleuse de Livre"") ainsi que celle de Kathy Bates qui ne s'en tire également pas trop mal et réussit à devenir attachante. Malheureusement, ca n'aura pas été suffisant pour éviter de m'ennuyer autant que devant un de ces téléfilms qu'on peut voir sur M6 toutes les après-midi !!! Décevant.",0
"On peut raconter tout ce qu'on veut, n'empêche qu'il est difficile de ne pas s'endormir devant ce film qui ne raconte pas grand-chose, où tout rythme est absent, qui parle beaucoup, qui abuse des ellipses et qui pour se résumer ne suscite aucun intérêt. On ne se raccroche à rien, (juste un petit peu à Mitchum au début) avant de se demander s'il est bien nécessaire de s'imposer un tel supplice",0
"Téléfilm-polar de bonne facture, en costume Restauration, qui a un petit air de Sherlock Holmes ou de « Le nom de la rose », avec le vieux maître aux intuitions fulgurantes et aux rigueurs scientifiques, accompagné de l’assistant, jeune, brouillon mais indispensable. Ils vont entamer un jeu subtil, de moins en moins policé, avec la diabolique Line Renaud (toujours vaillante à plus de 80 printemps) … et le perdre ! La reconstitution est fidèle, l’histoire assez bien maîtrisée, mais avec quelques longueurs, les décors soignés. Les acteurs jouent très justement, seul Patrick Bouchitay cabotinant excessivement. Une œuvre très plaisante.",1
"Succés surprise aux Etats-Unis ou il bat des records au box-office pour une production Française et je dois dire que tout cela est amplement mérité vu le résultat. Ecrit et produit par Luc Besson avec le fidele Robert Mark Kamen à la plume, cela me faisait un peu peur vu le nombre incalculable de films d'actions superficiels avec des bastons par ci par là et des scénarios baclés sous le label ""EuropaCorp"", mais le patron du studio a fait quelques exceptions comme ""Danny The Dog"" de Louis Letterier plutot réussit. ""Taken"" de Pierre Morel est un film d'action à la violence assez réaliste digne de la saga Jason Bourne et traite un sujet d'actualité en Europe sur l'enlevement de jeunes filles vendus sur le marché de la prostitution ce qui est le cas de la fille de notre héros à Paris. Celui-ci, garde du corps à la retraite, annonce la couleur à son ravisseur qu'il a au bout du fil qu'il retrouverait sa fille et que l'auteur connaitra la mort. Un film d'action sans temps mort qui ménage le suspense de bout en bout meme si l'on a un aperçu de savoir comment cela va se terminer. Pierre Morel signe une réalisation correcte dans un Paris loin des clichés Américaines avec beaucoup de noirceurs. Un coup de chapeau aussi à Liam Neeson qu'on a pas l'habitude de voir dans ce genre de role qui demeure impeccable. Famke Janssen et Maggie Grace ne sont que des accessoires dans ce film. Mais avis aux amateurs de ce genre !!",1
"Je n'ai pas aimé cette adaptation. J'ai adoré le bouquin, dévoré en 2 jours. C'est toujours le problème de l'adaptation, qui s'avère être un exercice bien difficile. L'atmosphère pesante, les sentiments de Winston et le contexte de guerre ne sont pas bien amenés ou pas du tout traités. A vouloir retranscrir le plus possible l'oeuvre original, le réalisateur perd son sujet, la confusion pour ceux n'ayant lu le livre doit être totale. Je persiste à croire que les meilleures adaptations ne sont pas celles qui suivent l'oeuvre originale à la lettre.",0
"Dans ce qui pourrait être un petit téléfilm sur France 3 en semaine (France Télévisions co-produit), tout sonne faux, le scénario, les plans approximatifs, même le jeu des acteurs (et -trices, hélas...)! On s'y ennuie du début à la fin, celle-ci étant d'ailleurs totalement bâclée, le devenir de l'un des personnage étant totalement laissé à l'inspiration des spectateurs.",0
"Un film d'atmosphère et d'angoisse sur le thème du miroir du réalisateur et photographe de mode Sean Ellis - à qui nous devons l'émouvant Cashback. L'œuvre n'a pas fait grand bruit, pourtant, elle se monte au niveau des plus grands. J'ai aimé la sobriété, l'élégance, la finesse avec laquelle nous nous trouvons emportés par la peur. Un vrai travail esthétique, avec la volonté de ne pas ennuyer et de surprendre, loin des canons hollywoodiens en vogue. The broken a suscité des réactions très contradictoires. C'est pourtant ce qu'on attend d'un film fantastique de qualité. Les autres, le sixième sens... Nous ne sommes pas dans Conjuring ( qui est bon dans son style ). Ici c'est l'ambiance, l'angoisse, l'esthétique et la sobriété. Avec un vrai scénario.",1
"Anthony Marciano signe ici une bonne comédie, pleine de second degré en détournant habillement une légende connue de tous. Le casting, mené par un Max Boublil toujours très convaincant dans ce type de rôle, est juste et contribue transformer le mythe en laissant transparaître les inspirations d'écriture du scénario. Mention spéciale à la photographie du film que j'ai vraiment aimé par sa qualité.",1
"Wu xia pian signé par l'un des maîtres, K. Hu, qui avait pour l'occasion repris sa liberté suite à une collaboration frustrante avec la Shaw Brothers. De retour dans sa Taïwan natal, le réal emballe un film fleuve qui n'a pas un scénario révolutionnaire mais qui nous permettra d'admirer au long de quelques séquences de combats bien foutues avec des artistes martiaux au top. J'ai trouvé que l'histoire mettit du temps à se mettre en place, montrant assez peu les intentions des personnages et diluant même un peu l'intérêt. Plus soucieux de l'aspect historique de son film que de son rendu mythologique en tant qu'objet cinématographique, Hu s'appuie sur une reconstitution assez fidèle de l'époque qu'il traite tout en arrivant à y mêler des intentions plus personnelles orientées vers le divin. Le film est long, très long même mais il est bien rythmé et les plans dans les forêts de bambous sont de pures merveilles du genre, le cinéaste exploitant au mieux les lumières de ce genre de décor. Les combats sont bien montés, jouant autant sur les faux raccords que sur le rythme, même si je trouve que les combattants ne sont pas trop mis en valeur (moins que chez C. Cheh par exemple). Bref, un bon film du genre, un monument pour certains mais perso, pas mon préféré. D'autres critiques sur",1
"Film culte et atypique, de Nelly Kaplan qui y raconte « l’histoire dune sorcière des temps modernes qui n’est pas brûlée par les inquisiteurs, car c’est elle qui les brûle."" ! Un rôle magistralement interprété par Bernadette Lafont. Il était fait pour elle !",1
J'ai adoré ce film. On se laisse embarquer dans cette aventure au milieu de la favela avec nos petits héros qui jouent superbement bien. Une belle histoire d'amitié avec une très belle morale à la fin. Courrez voir ce petit bijou.,1
"Abominable suite d'une excellente adaptation, Carrie 2 choisit de reprendre exactement le même schéma que son prédécesseur, en éliminant tout ce qui ne fait pas jeune (et qui faisait le succès du chef d'oeuvre). On repart donc dans le milieu étudiant, dont on nous décrit les moeurs avec moute détails (au point qu'on en vient à se demander quels sont les liens avec Carrie 1). Vient ensuite la classique histoire d'amour (sensée être belle et pure parce que notre héroïne est goth, et qu'elle ne croit pas en l'amour, m'voyez ?). Puis arrive le dénouement tragique. Mais là où De Palma rendait la chute de son héroïne à la limite du supportable, Katt Shea nous livre la déchéance la plus involontairement drôle de l'histoire de la suite ringarde. Difficile de ne pas éclater de rire devant la bêtise étalée sur grand écran, où n'importe qui balayerait l'affront en rigolant, et qui rend notre pauvre héroïne triste. S'ensuit la scène de boucherie, qui donne dans la frénésie tant le réalisateur ignore ce qu'il fait. Et vas y que je te coupe une tête avec des éclats de verre, et vas y que je te perfore avec une gaffe d'appontage que personne ne garde dans son salon, et vas y que je te tire dessus au lance fusée de détresse qui n'a lui aussi rien à foutre là... Une suite pas si nulle que ça en fait, on se marre bien, mais uniquement sur les 20 dernières minutes.",0
Juste une étoile (pour la beauté des dessins) pour ce film d'animation excessivement encensé par les critiques. D’un ennui mortel…Pourtant le synopsis avait à la base de l’intérêt. Que c’est-il passé ?,0
Le contexte politique gâche la relation passionnée. Le charme de RS ne suffit pas. D’autant que Lanoux manque quand même d’envergure pour un héros romantique. Et nous on patauge dans les coups d’état et les pratiques douteuses de certains partis. Ennuyeux et pas du tout attrayant.,0
"quelle déception alors certes des effets spéciaux sympas pour la forme mais qui ne servent aucun fond ,pas d'histoire tant le scénario est grotesque ,le jeu des acteurs caricatural ce qui dessert évidemment l'atmosphère générale du film ou tout sonne creux et faux . c'est mad max vu par les studio disney ? bref vous vous ferez votre propre avis en le visionnant .",0
"Ce film est une vraie réussite, superbement servi par ses deux principaux acteurs ce père (Slimane Dazi) qui a mis entre parenthèse sa vie dont il n'attend plus rien, et ce fils (Didier Michon) qui va surgir dans son existence avec la frénésie de vivre, et bousculer tout l'environnement. Le regard du metteur en scène sur les habitants de la banlieue est mâtiné de douceur et il nous l'a fait aimer",1
"c'est rare mais ca arrive cette suite est carrément plus réussi que le premier opus, il y a bien plus de scène ou l'on sursaute c'est beaucoup plus angoissant, le lien entre ""Paranormal Activity 1 & 2"" est très bien fait ainsi que le raccord, on apprend plein de chose sur ces phénomènes ! donc si vous avez bien aimé le premier vous adorez celui-ci !",1
"J'ai vraiment aimé le côté road movie, avec pleins de petites scènes aussi suréalistes les unes que les autres qui s'enchaînent à un rythme assez convevable. Les acteurs sont brillants Depardieu et Miou Miou au top et Dewaere que je connaisssais pas est vraiment excellent aussi (surtout quand il s'énerve). Des scènes choquantes mais il faut savoir prendre du recul pour apprecier... et surtout ne pas manger de yahourt avec des morceaux de framboise pendant une scène avec jeanne moreau...",1
"Certes, le sujet du mur de Berlin aété maintes fois adapté sur les écrans, mais ce film contrairement aux précédents du genre, comme ""Goodbye Lenin"" nous prend et nous persuade du changement de psychologie d'un homme, qui en épie d'autres. ""La vie des autres"", c'est une émouvante histoire d'amour,une réalité bien triste, et un suspense implacable et très bien gradué. ""La vie des autres"" est un chef-d'oeuvre des temps modernes, et l'on en a bien besoin, si l'on regarde les films qui sortent en cette période...",1
"Kick-Ass a été vraiment une très agréable surprise ! Me fiant aux bonnes critiques et assez intrigué, j'ai découvert un film drôle, original, inventif ou bien sûr la violence présente est à prendre au second degré... Les acteurs sont chacun à leur manière très convaincants et donnent au film une tonalité bien particulière digne des BD ! Une bouffée d'air pleine d'énergie !",1
"....heu oui bon sa reste un film a regardé lorsqu il n a rien d autre a voir et encore...on est plus proche du téléfilm catastrophe for tv que du grand film...si plus de moyen avait était mis peut être que le resultat aurai était différent, je l ais vus et revus a l époque, c était en vhs, sa pouvait encore passé, aujourd hui sa m étonnerais bcp , il est sortis en 2003 en dvd en format 4:3 et 16:9 et un son un peut ....zarbi , ceux que g vu en vente il etait dans une collection budget et d ailleur il me semble que certain scenes et image du film on était réutilisé en tv dans des séries...si je dis pas de betisses il me semble que c etait dans walker texas ranger saison 7- walker se marie, part 2 et il me semble aussi dans Le flic de Shanghaî",0
"On peut comprendre que le film ait obtenu le prix de la mise en scène au dernier festival de Cannes plutôt que celui du scénario. Si le noir et blanc est aussi somptueux que celui de ""Ida"", si les cadrages fascinent par leur finesse, si le sens de l'ellipse de Pawlikowsky est toujours aussi maîtrisé, le scénario, quant à lui, ne se révèle être qu'une simple bluette et les atermoiements des protagonistes finissent par lasser. L'autre déception immense réside dans le fait que l'histoire se situe durant les pires années de la guerre froide, période qui n'est jamais exploitée politiquement mais seulement pour sa reconstitution esthétique. A vouloir miser sur la seule élégance de sa mise en scène, le réalisateur livre un film froid et sans chair.",0
"Un film choc merveilleux sur le milieu carcéral;L'administration judiciaire y apparait sous un autre jour, on y voit une institution rude et ridiculement procédurière. Quelle tristesse que ce film soit si peu distribué, il est magnifique!",1
"C'est le Kubrick que j'aime le moins, mais c'est tout de même pas mal du tout. Le contexte est très intéréssant et ce film profondément dénonciateur est d'une grande intelligence, avec une réflexion très profonde. Mais les personnages nous semblent trop éloignés, du fait qu'ils sont fous ou dangereus, ou même les deux parfois. C'est dommage car si ils avaient été plus intéréssants, le film aurait surement gagné en intensité. A noter tout de même de grands numéros d'acteurs, avec la présence de George C. Scott, Sterling Hayden et surtout Peter Sellers, absolument ahurissant dans un triple rôle. C'est tout de même bien.",1
"Vingt ans plus tard, Lelouch réunit à nouveau son couple vedette d'un homme et une femme, sans en retrouver le charme ni son côté intimiste, excepté la scène des retrouvailles, troublante et tournée en grande partie en impro.",0
"Cette adaptation est très fidèle au roman de Xavier de Montépin...On y retrouve l'invention volée par Jacques Garaud : ""la machine à guillocher les surfaces courbes"", quelques verres de Chartreuse verte, et le petit côté fantastique avec ""la liqueur de vérité"" qui fait avouer bien des secrets...Certaines phrases du roman se retrouvent presque mot pour mot: ""C’est le merle blanc, les bonnes porteuses"" dans le roman, et ""C’est l'oiseau rare, les bonnes porteuses"" dans le film de 1963...""de pain"" est sous-entendu...A propos de Merle, dans la série de 1973, Jeanne Fortier chante ""le temps des cerises"" avec ""le merle moqueur"", mais l'invention, ""la machine à guillocher"" y devient ""le verre inacassable"" et l'usine de Jules Labroue une verrerie.",1
"Un film apparemment peu connu, au vu du nombre de critique, et c'est bien dommage. Pourtant tout le monde en connait la musique signé Bernard Herrmann et son entraînante mélodie à base de sifflement (reprise dans Kill Bill). J'ai donc été plutôt agréablement surpris par ce film d'une violence psychologique assez éprouvante. Pendant la première heure, il se dégage du film une sorte de tension malsaine, sexuelle voir incestueuse. Quelques chose de terrible semble se préparer. Il faut dire que ce Hayley Mills à de quoi inquiéter, avec son angoissante tête d'ange qui lui donne de faux airs de Malcolm McDowell. ""Twisted Nerve"" est un petit chef-do'euvre n'aurait rien à envier aux films de Kubrick ou de Hitchcock, si ce n'est qu'un peu de notoriété.",1
Un film commercial sans doute honorable à sa sortie avec des têtes d'affiche mais sa réalisation figée a mal vieilli et ne crée pas beaucoup de suspense. Les rebondissements font l'effet de pétards mouillés et on finit par s'ennuyer.,0
"Les extra-terrestres veulent nous exterminer en se servant de nos machines... À moins que ce soient nos machines qui veuillent nous exterminer en se servant des extra-terrestres... Bon, de toute façon, tout le monde aura compris l'idée. À la limite, on pourrait être tenté de dire que le scénario n'est pas moins crédible que celui d'un ""Transformers""... En ce qui concerne les acteurs, je trouve qu'ils s'en sortent plus ou moins et qu'ils parviennent quand même à rendre leurs personnages sympathiques. Bien sûr, Shane Van Dyke joue une fois encore le beau gosse de service, comme il savait déjà si bien le faire à bord du Titanic 2. Les effets spéciaux sont vraiment très cheap; ça sent bon la vieille incrustation en CGI dans un décor réel. On ne voit pratiquement jamais les acteurs réellement interagir avec les robots géants. Les scènes d'action sont généralement mal filmées. Bref, c'est un film sans grande valeur mais malgré tout regardable.",0
Ce téléfilm est une petite merveille! Je me suis fait transportée par l'histoire! Vraiment dommage qu'il ne soit pas disponible en DVD,1
Autant être sincère on ce chie dessus en voyant ce film !! >,1
"C'est fou comme les films sur la danse se suivent...et se ressemblent !! Encore un scénario vu mille fois, avec les bons et les méchants, les mauvais qui deviennent talentueux et les plus prétentieux qui prennent une bonne leçon !! Mais bon cela marche tout de même et on passe un moment agréable même si certains danseurs laissent à désirer dans ce film !! (l'actrice principale notamment !!) Les spectacles de début et de fin sont très jolis, l'histoire mignonnette et prenante et je suis content de l'avoir vu avec mon partenaire qui adore la danse !! -_- A voir une fois pour les amateurs...",1
"Simple, essentiel, onirique, sensuel, poétique, romantique, éternel .... In The Mood For Love est une pépite du 7ème art que l'on peut réellement considérer comme un chef d'oeuvre. WKW réalise un film à l'opposé de tout ce qui a pu et peut se faire actuellement au cinéma. L'intensité des émotions se révèle dans les détails, pas de dialogues inutiles visant à faire comprendre ce que les acteurs nous ont déjà fait comprendre par leur jeux, leur visage et leur gestes.... Maggie Cheung et Tony Leung sont justes parfaits, tout en retenue et pourtant tellement expressifs ! Oscar de la démarche la plus sensuelles qu'il m'ait été donné de voir au cinéma pour Maggie Cheung. BO sublime ! Probablement l'un des plus beau film de cette décénnie ! A voir absolument .",1
"Un film de catastrophe aérienne avec les situations les plus éculées et les personnages les plus caricaturaux (la Palme d'or est décernée à Lee Grant!) et non exploités par la suite qui soient, vous en avez toujours rêvé ? Comment ça non ? Eh ben, vous l'avez quand même, non mais. Un budget de 30 000 000 de dollars de l'époque (quasiment au même prix, on peut avoir ""Apocalypse Now""!), quelques stars prestigieuses qui cachetonnent...euh... je veux dire qui jouent (Salut Jack, salut Olivia, salut James, salut Christopher (mais lui c'était pour jouer avec Jack donc on pardonne!)). Une petite scène assez spectaculaire quand même, on va pas lui enlever cela. Mouais, ça ne vaut même pas l'épave de l'avion. Quand Jack a dit quelques années plus tard qu'il avait fait une grosse connerie en jouant dans ce film, on ne peut pas dire qu'à ce moment-là il en ait dit une. La Messe est dite.",0
Un vrai flop.. avec l'amère impression d'avoir perdu mon temps.,0
La série Z par excellence qui ne mérite ni de passer sur grand écran ni même sur le petit. Du beau gâchis.,0
"Un film à sketches sans scénario qui sent le nanar à plein nez. Meilleur qu'un somnifère pour les insomniaques. La réalisation est complètement nulle. Caméscope, caméra cachée, caméra de surveillance, caméra café, caméra restaurant, caméra métro sur fonds de musique d'ascenseur. La réalisation et les images sont vraiment mauvaises. Le jeu des acteurs, le montage et les dialogues sont dignes d'un cancre. WKW fait pire qu'un film de vacance à la porté de tout amateur, le plus nul qui existe. Des acteurs qui s'ennuient dans un film invraisemblable qui tourne en rond et nous soûle. Norah Jones est en grand manque d'inspiration.",0
